stemmed_content,sentiment_label
"['kalau', 'nyampai', 'barangnnya', 'tambahin', 'bintangnnya']",Netral
['mantab'],Netral
"['apk', 'si', 'bagus', 'jual', 'ngontol', 'v', 'barang', 'tidak', 'sesuai', 'pict', 'bagi', 'toko']",Netral
"['kali', 'transaksi', 'pesan', 'batal', 'voucher', 'tidak', 'apa', 'sangat', 'kan', 'batal', 'arti', 'voucher', 'batal', 'guna', 'kecewa']",Negatif
"['tidak', 'enak', 'pakai', 'shope', 'penmbahan', 'biaya', 'layan', 'segala', 'mending', 'pakai', 'tokped', 'wajah', 'senyum', 'mata', 'bahagia']",Negatif
"['bantu', 'orang', 'juang']",Positif
['mula'],Netral
"['susahny', 'verifikasi', 'akun', 'jualany', 'ktp', 'baca', 'otomatis', 'mash', 'tolakdi', 'email', 'cs', 'nny', 'respon', 'kali']",Netral
"['barang', 'nyah', 'murah', 'ongkos', 'kirim', 'terlalu', 'mahal', 'sampey', 'nyah', 'lama', 'nga', 'lazada', 'ongos', 'kirim', 'nya', 'muraha', 'sampey', 'nya', 'cepat', 'hari', 'sampey', 'maaf', 'bintang', 'nyah', 'kasih']",Positif
"['gara', 'gara', 'kemarin', 'update', 'baru', 'tiktoknya', 'masuk', 'garagara', 'suruh', 'verifikasi', 'langkahudah', 'coba', 'cek', 'google', 'autentikator', 'kode']",Netral
"['ngapa', 'ndonload', 'deweg', 'asw']",Netral
"['apk', 'makin', 'lot', 'hapus', 'tuh', 'fitur', 'video', 'bikin', 'sampah', 'shopee', 'makin', 'banyak', 'chache', 'n', 'bikin', 'frame']",Negatif
"['min', 'mau', 'beli', 'pulsa', 'ko', 'tidak', 'malah', 'tulis', 'lebih', 'batas', 'transaksi', 'padahal', 'belum', 'transaksi']",Negatif
['suka'],Positif
"['kapan', 'tak', 'coba']",Netral
['senang'],Positif
"['shopee', 'lama', 'error', 'anjirr', 'padahal', 'update', 'terus', 'pas', 'mau', 'cekout', 'jadi', 'salah', 'update', 'apk', 'sama', 'restat', 'apk', 'kalau', 'apk', 'nya', 'update', 'terus', 'tetap', 'tidak', 'gimana', 'pihak', 'shoppe']",Negatif
"['daftar', 'seller', 'susah', 'acc']",Negatif
"['tempat', 'belanja', 'paling', 'asyik', 'seru', 'an', 'main', 'game', 'mantaapp']",Netral
"['belanja', 'apa', 'lewat', 'shopee', 'sayang', 'sekarang', 'biaya', 'tambah', 'tambah', 'belum', 'sering', 'lot', 'ngefreeze', 'ngeblank', 'beli', 'token', 'sama', 'pulsa', 'malah', 'tidak', 'sama', 'sekali', 'entah', 'padahal', 'sering', 'baharu']",Negatif
"['limit', 'malah', 'tadi', 'pagi', 'limit', 'tambah', 'k', 'ehh', 'tiap', 'kali', 'mau', 'coba', 'bayar', 'pakai', 'shopeepaylater', 'tolak', 'terus', 'ah', 'bikin', 'ksel', 'shopee', 'mending', 'hapus', 'ajja', 'akun']",Netral
"['kocakk', 'nii', 'asli', 'spinjam', 'tidak', 'skg', 'sppaylater', 'nonaktfkan', 'tidak', 'jelas', 'sangat', 'tb', 'bukan', 'makin', 'lebih', 'baik', 'updt', 'malah', 'makin', 'jadi', 'buruk', 'nya', 'hahaa']",Negatif
"['baru', 'mau', 'coba', 'moga', 'banyak', 'bantu']",Positif
"['koin', 'tukar', 'dong', 'masa', 'kurang', 'sedikit', 'sih']",Netral
"['oi', 'aldi', 'main', 'bola', 'yok', 'sore']",Netral
['bagus'],Positif
['oke'],Positif
"['aman', 'akun', 'kena', 'hack', 'susah', 'hubung', 'tiktok', 'shop', 'mending', 'deh', 'tiktok', 'shop', 'bahaya', 'rawan', 'hack', 'ngapa']",Negatif
"['akun', 'dana', 'hilang', 'nominal', 'juta', 'juta', 'astagfirullah', 'aju', 'banding', 'tolak', 'hati', 'hati', 'tiktokshop', 'indikasi', 'tipu', 'curang', 'menejemen', 'nyasaya', 'kapok', 'jual', 'aplikasi', 'inisemoga', 'tuhan', 'balas', 'laku', 'orang', 'jahil', 'ganti', 'barang', 'uang', 'raib', 'karyawan', 'nunggak', 'sakit', 'hati', 'rampok', 'speak', 'up', 'sih', 'nasib', 'bijak', 'curi', 'uang', 'langsung']",Netral
"['afiliator', 'susah', 'bngtdikit', 'langgar', 'mudah', 'komisi', 'bekukansangat', 'sayang', 'komisi', 'tarik', 'hak', 'kamiknp', 'ambil', 'hak', 'kamikami', 'orang', 'miskin', 'makan', 'hasil', 'komisi', 'bekukankebijakan', 'merugikansetiap', 'bikin', 'viti', 'susah', 'ngorbanin', 'tenagasekalinya', 'kena', 'pelannggaran', 'pelnggaran', 'permanen', 'komisi', 'beku', 'astaghfirullah']",Negatif
"['belanja', 'susu', 'formula', 'nuwopedia', 'harga', 'jangkau', 'dukung', 'tumbuh', 'kembang', 'bayi', 'usia', 'emas']",Netral
"['logout', 'sendiri', 'shopee', 'pas', 'mau', 'login', 'tidak', 'aneh', 'benar', 'dong', 'baik']",Netral
"['aplikasi', 'buat', 'apa', 'sih']",Netral
"['pas', 'jual']",Netral
['baik'],Positif
"['gila', 'sih', 'bug', 'ganggu', 'wkwk', 'pas', 'upload', 'produk', 'gagal', 'gambar', 'deskripsi', 'aktif', 'alas', 'arah', 'traffic', 'langgar', 'hak', 'asasi', 'konsumen', 'wkwm']",Netral
"['bagus', 'apl', 'sangat', 'bantu', 'maaf', 'cukup', 'bintang', 'tiga', 'sayang', 'tertawa', 'bahak', 'bahak']",Positif
"['good', 'aplikasi']",Positif
"['mungkin', 'apps', 'khusus', 'spesies', 'jawa', 'non', 'jawa', 'jangan', 'harap', 'tidak', 'gratis', 'ongkir']",Negatif
"['batal', 'otomatis', 'lama', 'proses', 'hari', 'tidak', 'tahu', 'barang', 'tidak', 'kasihan', 'nunggu']",Negatif
"['kasih', 'laris', 'kak']",Positif
"['beli', 'produk', 'jual', 'produk', 'daftar', 'pakai', 'ktp', 'dokumen', 'isi', 'susah', 'download', 'biar', 'hemat', 'simpan', 'hp', 'beli', 'tiktok', 'langsung', 'apknya', 'aplikasi', 'mudah', 'bikin', 'pusing', 'ktp', 'admin', 'admin', 'ngotak', 'belanja', 'daftarin', 'pakr', 'ktp', 'hapus', 'buangbuang', 'kuota', 'admin', 'kasihan', 'orang', 'susah']",Negatif
['juooss'],Netral
"['aplikasi', 'jelek', 'banyak', 'belanja', 'member', 'gold', 'spaylater', 'malah', 'd', 'nonaktif', 'padahal', 'tenor', 'tidak', 'pernah', 'telat', 'malah', 'selalu', 'bayar', 'sblum', 'jatuh', 'tenor']",Negatif
"['ribet', 'jual', 'produk', 'snak', 'atur', 'hijau', 'oren', 'biru']",Netral
"['aplikasi', 'anjing']",Netral
"['sulit', 'jual', 'upload', 'produk', 'kategori', 'salah']",Netral
"['coba', 'wkwkw']",Netral
['bagus'],Positif
"['gimana', 'haduh', 'masa', 'gin', 'tadi', 'mau', 'beli', 'barang', 'lewat', 'tokopedia', 'vocernya', 'tulis', 'gratis', 'ongkir', 'klik', 'gilir', 'tak', 'bayar', 'kok', 'malah', 'batal', 'otomatis', 'tokopedianya', 'gimana', 'maksud']",Netral
['bantu'],Positif
"['sih', 'shopee', 'suka', 'ngelak', 'tidak', 'secroll', 'pusing', 'dimit', 'sedikit', 'lola', 'sekali']",Netral
"['knpaa', 'kok', 'tak', 'cod']",Netral
"['buruk', 'banyak', 'prlangaran', 'produk', 'rubah']",Negatif
['bagus'],Positif
"['kayak', 'tidak', 'bettulny']",Negatif
"['tambah', 'stok', 'barang']",Netral
"['mohon', 'aplikasi', 'bacakalo', 'pormula', 'jual', 'toko', 'nomor', 'nib', 'cantum', 'moga', 'laku', 'aplikasi', 'tahi', 'asu']",Netral
"['mau', 'bayar', 'pakai', 'ovo', 'gagal', 'terus', 'apa', 'sama', 'aplikasi']",Netral
"['limit', 'laternya', 'kecil']",Netral
"['daftar', 'ribet', 'isi']",Netral
['bagus'],Positif
"['pelit', 'promo']",Netral
['cair'],Netral
"['sangat', 'bagus']",Positif
"['mu', 'login', 'susah']",Negatif
"['selalu', 'muncul', 'snackbar', 'jadi', 'salah', 'server', 'mau', 'search', 'tidak', 'padahal', 'pakai', 'stream', 'lancar']",Negatif
"['overall', 'oke']",Positif
['bagus'],Positif
['oke'],Positif
"['sering', 'ngelag']",Netral
"['notifnya', 'sangat', 'ganggu']",Netral
"['sekarang', 'pilih', 'mau', 'beli', 'pulsa', 'indosat', 'jt', 'kok', 'tidak', 'min', 'maksimal', 'ribu']",Negatif
"['sekarang', 'tagih', 'tidak', 'pakai', 'spaylater', 'padahal', 'spaylater', 'sangat', 'bantu', 'lupa', 'bayar', 'tagih', 'dab', 'jatuh', 'tempo', 'tidak', 'atm', 'indomaret', 'alfamart', 'mau', 'beli', 'pulsa', 'malam', 'jadi', 'tidak', 'sedia', 'shopeepay', 'terus']",Negatif
"['endak', 'download', 'ulng', 'muat', 'je']",Netral
"['sungguh', 'kecewa', 'baru', 'pertama', 'donlod', 'coba', 'co', 'eh', 'malah', 'batal', 'otomatis', 'ma', 'tokped', 'mau', 'apa', 'sih', 'mp']",Negatif
"['sulit', 'log', 'main', 'log', 'out', 'log', 'pakai', 'nomor', 'hp', 'daftar', 'pas', 'masuk', 'kaya', 'daftar', 'asu']",Netral
"['aplikasi', 'ribet', 'masak', 'daftar', 'sulit', 'pakai', 'ktp', 'paspor']",Netral
"['makasih', 'tokped', 'promo', 'rp', 'nya']",Netral
"['sering', 'tokopedia', 'kirim', 'lambat', 'jauh', 'tinggal', 'lazada', 'shopee', 'memang', 'barang', 'kurir', 'kalau', 'belanja', 'lazada', 'shopee', 'hari', 'dua', 'maksimal', 'hari', 'tiga', 'barang', 'padahal', 'ekspedisi', 'kurir', 'sama', 'tinggal', 'nunggu', 'belanja', 'uninstall', 'tokopedia']",Negatif
"['selesai', 'latih', 'prakerja', 'tanggal', 'mei', 'sertifikat', 'lapor', 'skill', 'academy', 'kok', 'sertifikat', 'belum', 'muncul', 'dashboard', 'prakerja', 'jadi', 'tidak', 'ulas', 'kelas', 'gimana']",Negatif
"['min', 'tidak', 'mebatalkan', 'pesan', 'min', 'admin', 'toko', 'tidak', 'balas', 'pesan', 'min', 'responnya', 'min', 'shopee', 'lipat', 'tangan']",Negatif
"['bagus', 'kadang', 'lot', 'sedikit', 'yahh']",Netral
"['terima', 'kasih', 'tokopedia', 'hebat', 'sekali', 'jempol', 'atas']",Positif
"['ramai', 'dagang', 'toko']",Netral
"['daftar', 'eh', 'pendaftara', 'otp', 'masuk']",Netral
"['login', 'akun', 'tiktokshopudah', 'uploud', 'produk', 'susah', 'bgtmudah', 'hecker', 'aplikasisaya', 'hecker', 'habis', 'uang', 'jual', 'syakecewa']",Negatif
"['we', 'daftar', 'tiktok', 'tokoh', 'tokopedia', 'situs', 'pakai', 'nih']",Netral
"['shoppe', 'jelek', 'sekali', 'sekarang', 'aplikasi', 'sering', 'lag', 'tambah', 'sekarang', 'pelit', 'sangat', 'kasih', 'free', 'ongkir', 'tidak', 'kek', 'dulu', 'mana', 'biaya', 'tambah', 'naik']",Negatif
"['akun', 'pasar', 'daftarin', 'coba', 'mudah', 'jual', 'prsulit', 'bagus', 'atur', 'kena', 'langgar', 'jual']",Positif
"['jual', 'aplikasi', 'tiktok', 'rewel', 'langgar']",Netral
"['aplikasi', 'sangat', 'bantu', 'masa', 'masa', 'sekarang']",Positif
['bagus'],Positif
"['jual', 'cair', 'anjrit', 'cairbuat', 'modal']",Netral
"['darurat', 'mau', 'beli', 'pulsa', 'eh', 'd', 'cancel', 'sistem', 'apa', 'masalah', 'bikin', 'emosi']",Negatif
"['bagus', 'bantu']",Positif
"['ribet', 'urus', 'ktp', 'nya']",Netral
"['dulu', 'kan', 'hadiah', 'nya', 'belum', 'nyata']",Netral
['bagus'],Positif
['bagus'],Positif
"['alhamdulillah', 'berkat', 'tiktok', 'seler', 'cari', 'nafkah', 'anak', 'istrimeskipun', 'modal']",Netral
"['akun', 'seller', 'nonaktif', 'order', 'aneeh']",Netral
"['tiktok', 'shop', 'sngat', 'bagus', 'jual', 'segi', 'tari', 'dana', 'baik', 'mudah', 'minggu', 'tari']",Positif
"['kemarin', 'pas', 'bayar', 'brang', 'pesan', 'barang', 'tidak', 'kata', 'pihak', 'toko', 'barang', 'kirim', 'komplain', 'tokopedia', 'malah', 'suruh', 'nunggu', 'hari', 'pas', 'nunngu', 'minta', 'kembali', 'dana', 'suruh', 'nunggu', 'hari', 'parah', 'pas', 'lama', 'nunggu', 'eh', 'masa', 'ongkirnya', 'tidak', 'dikembaliin']",Negatif
"['aplikasi', 'nyusahin', 'jual', 'iya', 'hasil', 'jual', 'cair', 'ngpain', 'duit', 'orang', 'pakai', 'tahan', 'ngenes', 'jual', 'mula', 'ngadelin', 'duit', 'muter', 'belanja']",Netral
"['sangar', 'sangar', 'sangar']",Netral
['puas'],Positif
"['upload', 'data', 'gagal', 'terus']",Netral
['aman'],Netral
"['penting', 'hadiah', 'nya', 'reall', 'bos', 'bukan', 'dar', 'hoax']",Netral
"['saldo', 'tokopoints', 'hilang', 'entah', 'tidak', 'jelas']",Negatif
['kecewa'],Negatif
"['kemarin', 'tarik', 'uang', 'pusat', 'bantu', 'update', 'aplikasi', 'mohon', 'baik']",Positif
"['blokir', 'produk', 'laris', 'hapus', 'produk', 'bikin', 'hilang', 'paket', 'jasa', 'kirim', 'milik', 'aplikasi', 'tahan', 'jual', 'orangorang', 'npdoligarki', 'aplikasi', 'not', 'support', 'umkm']",Netral
['good'],Positif
"['apk', 'nya', 'berat', 'lebih', 'ringan', 'sering', 'eror', 'halaman', 'sedang', 'baik', 'halaman', 'muka', 'terus']",Positif
"['sistem', 'lemah', 'lindung', 'jual', 'barang', 'hilang', 'kirim', 'jual', 'tanggung', 'tanggung', 'kurir', 'tiktok', 'sedia', 'platform']",Netral
"['login', 'ribet']",Netral
"['hari', 'minta', 'update', 'tiga', 'kali', 'aplikasi', 'resah', 'mending', 'shoope']",Netral
['d'],Netral
"['sekarang', 'tidak', 'gabungin', 'promo', 'sama', 'gratis', 'ongkir', 'percuma', 'banyak', 'promo', 'kalau', 'tidak', 'gratis', 'ongkir', 'jelek', 'sekarangg', 'tidak', 'dengar']",Negatif
['bantu'],Positif
"['tiba', 'logout', 'sendiri', 'tidak', 'login', 'wanita', 'tepuk', 'jidat', 'warna', 'kulit', 'cerah', 'wanita', 'tepuk', 'jidat', 'warna', 'kulit', 'cerah', 'wanita', 'tepuk', 'jidat', 'warna', 'kulit', 'cerah', 'ongkir', 'beda', 'pulau', 'mahal', 'sekali', 'wajah', 'senyum', 'air', 'mata', 'wajah', 'senyum', 'air', 'mata', 'wajah', 'senyum', 'air', 'mata', 'wajah', 'senyum', 'air', 'mata']",Negatif
"['awal', 'suka', 'sekali', 'belanja', 'tokopedia', 'semenjak', 'gratis', 'ongkir', 'voc', 'cashback', 'maupun', 'diskon', 'tidak', 'gabung', 'jadi', 'sedikit', 'kecewa', 'tambah', 'sekarang', 'voc', 'cashback', 'event', 'wib', 'hilang', 'tambah', 'kecewa', 'tokopedia', 'makin', 'pelit']",Negatif
"['aplikasi', 'sangatvmembantu', 'selesai', 'soal']",Netral
"['bantu', 'masyarakat', 'susah', 'cari', 'kerja', 'an']",Netral
"['eror', 'malam', 'malam', 'belum', 'selesai', 'selesai', 'rugi', 'berapa', 't', 'kalian', 'baru', 'kali', 'apk', 'eror', 'awet']",Negatif
"['performance', 'sekarang', 'turun']",Netral
"['blokir', 'produk', 'konfirmasi', 'ingat', 'poin', 'gede', 'gilir', 'hari', 'order', 'toko', 'hilang', 'bijak', 'sngat', 'kontoll', 'eh', 'maaf', 'konyol', 'aneh', 'bin', 'ajaib']",Netral
"['aplikasi', 'jelek']",Negatif
"['syuka', 'sekali']",Netral
"['worth', 'seller', 'modal', 'minim', 'dana', 'cair', 'lamatolong', 'kondisi', 'order', 'beli', 'beli', 'selesai', 'transaksi', 'langsung', 'otomatis', 'saldo', 'seller']",Netral
"['sopi', 'moga', 'selalu', 'amanah', 'amin']",Netral
"['bikin', 'setia', 'sama', 'toped', 'gara', 'gabungin', 'vocer', 'ongkir', 'sama', 'promo', 'sekarang', 'malah', 'tidak', 'payah']",Negatif
['bagus'],Positif
['ribet'],Netral
['mantab'],Netral
['bantu'],Positif
"['iya', 'sering', 'bngtt', 'tokopedia', 'batal', 'pihak', 'blnjaan', 'tf', 'brang', 'batal', 'uang', 'ludess', 'gimna', 'tidak', 'sesal']",Negatif
"['bro', 'jual', 'ketat', 'atur', 'salah', 'uang', 'cair', 'alas', 'biar', 'uang', 'cair', 'admin', 'bicara', 'mohon', 'screenshot', 'masalah', 'kirim', 'email', 'team', 'periksa', 'masalah', 'haha', 'email', 'tanggap', 'bro', 'uang', 'hangus']",Negatif
"['aplikasi', 'keren']",Netral
['good'],Positif
"['apa', 'iya', 'toko', 'dia', 'memberikanhadiah', 'vocer', 'lewat', 'aplikasi', 'croum']",Netral
"['lama', 'shopee', 'food', 'ditinggalin', 'langgan', 'makin', 'lama', 'makin', 'pelit', 'potong', 'ongkirnya']",Negatif
"['mangkanya', 'susah', 'susah', 'toko', 'tutup', 'perintah', 'langgar', 'mampuss', 'tutup', 'perintah']",Negatif
"['shopee', 'memang', 'jos', 'lah', 'pokok', 'nya']",Netral
['baik'],Positif
"['suka', 'sekali', 'jujur', 'e', 'commerce', 'favorit', 'dua']",Positif
['masuk'],Netral
"['mantaap', 'mudah']",Positif
"['pas', 'login', 'gagal', 'salah']",Netral
['bagus'],Positif
['bagus'],Positif
"['kecewa', 'tiktok', 'biaya', 'komisi', 'rugi', 'jual', 'untung', 'ribu', 'tiktok', 'kena', 'potong', 'ribu', 'minus', 'rbtolong', 'timbang', 'atur', 'biaya', 'komisi', 'berat', 'jual']",Negatif
['bagus'],Positif
"['tokopedia', 'oke', 'sekali', 'sih', 'banyak', 'sekali', 'promo', 'nya', 'cuma', 'memang', 'tokopedia', 'cuma', 'bayar', 'pakai', 'ovo', 'sama', 'bank', 'yah', 'saran', 'yah', 'tambahin', 'dong', 'bayar', 'gopay']",Positif
"['sukses', 'shopee']",Netral
"['bagus', 'penting', 'bijak']",Positif
"['aplikasi', 'diinstal']",Netral
['install'],Netral
"['bantu', 'moga', 'hasil', 'coba', 'afiliet']",Positif
['mantap'],Positif
"['bagus', 'mudah', 'paham']",Positif
"['aplikasi', 'ampas', 'tidak', 'jelas', 'pakai', 'voucher', 'masa', 'pas', 'checkout', 'tolak', 'duit', 'refund', 'lama', 'aplikasi', 'lama', 'sistem', 'newbie']",Negatif
['joz'],Netral
"['moga', 'sukses']",Netral
"['makin', 'rajin', 'update', 'nya', 'kalau', 'pelu', 'hari', 'sekali']",Netral
"['cair', 'lamakshan', 'usaha', 'kelas', 'tengah', 'bawah', 'modal', 'cair', 'minggu', 'rubah', 'sistem', 'cair', 'dana', 'cepat']",Positif
"['daftar', 'kali', 'tolak', 'foto', 'ktp', 'nomor', 'aktif', 'gmail', 'aktif', 'tiktok', 'follower', 'alas', 'tulis', 'resiko']",Netral
['enjoy'],Netral
"['sangat', 'suka', 'belanja', 'mudah']",Positif
"['tokopedia', 'mantuul']",Netral
"['aplikasi', 'tidak', 'buka', 'terlalu', 'lambat']",Negatif
['good'],Positif
"['sangat', 'muas', 'belanja', 'tokopedia', 'utama', 'soal', 'bayar', 'sangat', 'mudah', 'hati', 'merah']",Positif
['oke'],Positif
"['sekarang', 'kok', 'kalau', 'buat', 'liat', 'gambar', 'lola', 'sekali', 'tidak', 'muncul', 'gambar', 'nge', 'blank', 'putih', 'terus', 'tidak', 'kliatan', 'gambar', 'kak', 'mohon', 'd', 'baik']",Negatif
"['tiktok', 'shop', 'anjingg', 'saldo', 'akun', 'nonaktif']",Netral
"['apk', 'online', 'market', 'cuma', 'shoppe', 'tidak', 'masalah', 'soal', 'perform', 'percaya', 'sama', 'shoppe', 'sayang', 'iklan', 'tidak', 'obat', 'capai', 'waktu', 'browsing', 'baca', 'komik', 'novel', 'google', 'iklan', 'muncul', 'terus', 'parah', 'auto', 'masuk', 'apknya', 'terus', 'paksa', 'hapus', 'apk', 'download', 'kalau', 'perlu', 'mohon', 'maaf', 'mohon', 'erti', 'baik', 'ngiklan', 'sih', 'oke', 'cuma', 'jangan', 'ganggu', 'aktivitas', 'orang']",Negatif
"['aplikasi', 'nya', 'eror', 'barang', 'nya', 'eh', 'status', 'pesan', 'sedang', 'antar', 'alamat', 'tuju']",Netral
"['si', 'super', 'lelet', 'update', 'akhir', 'tingkat', 's', 'ultra', 'lola', 'shopee', 'apa', 'handphone', 'biasa', 'hadeuuhh', 'pihak', 'shopee', 'mohon', 'baik', 'sistem']",Netral
['oke'],Positif
"['kadang', 'aplikasi', 'suka', 'lag', 'jam', 'tentu', 'lebih', 'lancar']",Netral
"['sekarang', 'aneh', 'aplikasi']",Netral
"['lot', 'aplikasi', 'nya']",Negatif
['enak'],Netral
"['keren', 'mudah', 'praktis']",Positif
"['perbaryi', 'tf', 'shopeepay', 'tidak', 'semua', 'sisa']",Negatif
"['no', 'pance', 'asli']",Netral
"['kecewa', 'sekali', 'fitur', 'aju', 'batal', 'tokopedia', 'sama', 'sekali', 'tidak', 'fungsi', 'aju', 'batal', 'jual', 'tetap', 'laku', 'proses', 'transaksi', 'saran', 'aju', 'komplain', 'ikut', 'arah', 'tokopedia', 'aju', 'banding', 'masalah', 'jual', 'dapat', 'notif', 'tidak', 'respon', 'jawab', 'jual', 'sungguh', 'buat', 'kapok', 'belanja', 'online', 'tokopedia']",Negatif
"['senang', 'jual', 'bareng', 'tiktok', 'yeay']",Positif
['uyy'],Netral
"['saran', 'seller', 'modal', 'pasn', 'saldo', 'tahan', 'mroses', 'order', 'duit', 'nyampenya', 'stres', 'cari', 'modal', 'tambah']",Netral
"['lihat', 'percaya', 'bagus']",Positif
['top'],Netral
"['bantu', 'apda', 'aju', 'eprmohonan', 'lepas', 'taut', 'akun', 'solusi', 'masalah', 'selesai', 'balas', 'pesan', 'system', 'robotpercuma', 'aju', 'mohon', 'selesai', 'buang']",Positif
"['semua', 'pesan', 'sesuai', 'pesan', 'order', 'gratis', 'ongkir', 'c', 'o', 'd']",Netral
"['jempol', 'atas']",Netral
['bagus'],Positif
"['aplikasi', 'babikemarin', 'hasil', 'daftar', 'pas', 'masuk', 'nomor', 'ktp', 'kadaluarsa', 'masuk', 'gogle', 'nama', 'toko', 'nama', 'tokokemrin', 'tap', 'bilang', 'nama', 'toko']",Netral
['oke'],Positif
"['ko', 'error', 'terus']",Negatif
['aplikasi'],Netral
['good'],Positif
"['login', 'suruh', 'login']",Netral
"['kadang', 'ribet', 'dn', 'tidak', 'ngerti', 'cara', 'pakaix']",Negatif
"['sekarang', 'lemott', 'jadi', 'sebal', 'mau', 'cari', 'barang']",Netral
"['buka', 'shoope', 'notif', 'halaman', 'sedang', 'baru', 'terus', 'akun', 'teman', 'hp', 'beda', 'tidak', 'masalah']",Negatif
"['lebih', 'mudah', 'n', 'percaya', 'lipat', 'tangan', 'warna', 'kulit', 'cerah']",Positif
"['paksa', 'bintang', 'susah', 'upload', 'produk', 'harga', 'anggap', 'spam', 'harga', 'aplikasi', 'jembut']",Negatif
"['mohon', 'fitur', 'hapus', 'akun']",Netral
"['tambah', 'pembayan', 'via', 'dana', 'bayar', 'tempat', 'cod']",Netral
"['its', 'debest', 'hati']",Netral
['bagus'],Positif
['jelek'],Negatif
"['sukset', 'terus']",Netral
"['minta', 'update', 'terus', 'lot', 'sekali', 'wlw', 'signal', 'ku', 'kuat', 'sangat', 'entah', 'apa', 'sekarang', 'susah', 'jual', 'shoppe']",Negatif
"['loginnya', 'mudah']",Positif
['gg'],Netral
"['kadang', 'bagus', 'kadang', 'lmbt', 'sring', 'jadi', 'kalau', 'cekout', 'loding']",Positif
['oke'],Positif
"['pesan', 'selesai', 'saldo', 'muncul', 'susah']",Negatif
"['biaya', 'kirim', 'mahal']",Netral
['oke'],Positif
"['laku', 'beli', 'pulsa', 'bimatri', 'bayar', 'lalu', 'shopeepay', 'loading', 'terus', 'mau', 'masukin', 'password', 'bayar', 'mohon', 'baik']",Positif
['mantap'],Positif
['bantu'],Positif
"['kolom', 'verifikasi', 'error', 'dimasukindiketik', 'kode']",Negatif
"['aplikasi', 'mantap', 'tari', 'dana', 'singkat', 'putar', 'modal']",Positif
"['loading', 'lama', 'sekali', 'bagi', 'tagih', 'menu', 'tagih', 'tidak', 'buka', 'kaya', 'cuma', 'gambar', 'jadi', 'tidak', 'beli', 'pulsa', 'listrik', 'mohon', 'baik', 'wajah', 'menang', 'keras', 'lipat', 'tangan']",Negatif
['bagus'],Positif
['peropissional'],Netral
"['terima', 'kasih', 'mudah', 'manfaat']",Positif
"['bagus', 'terima', 'kasih', 'tiktokshop', 'moga', 'tiktok', 'shop']",Positif
"['parahh', 'saldo', 'shopeepaylater', 'belum', 'pakai', 'tiba', 'jadi', 'rupiah', 'aneh', 'sekali']",Netral
"['kok', 'lelet', 'nian']",Negatif
